byline,headline,link,summary
By DAVID E. SANGER and ERIC SCHMITT 5:00 AM ET,ISIS Proves an Elusive Target for America’s Cyberweapons,https://www.nytimes.com/2017/06/12/world/middleeast/isis-cyber.html,"The effectiveness of cyberweapons hit its limits against an enemy that exploits the internet to recruit, spread propaganda and use encrypted communications, all of which can be quickly reconstituted.
This is prompting officials to rethink how cyberwarfare techniques, first designed for fixed targets like nuclear facilities, must be refashioned."
By AL BAKER 5:00 AM ET,Opioid Addicts Find an Ally in Blue,https://www.nytimes.com/2017/06/12/nyregion/when-opioid-addicts-find-an-ally-in-blue.html,"Police leaders are assigning themselves a big role in reversing a complex crisis, and not through mass arrests."
,"Addiction Drug Lacks Results, but It Has Powerful Friends",https://www.nytimes.com/2017/06/11/health/vivitrol-drug-opioid-addiction.html,
By JIM RUTENBERG,"Trump Era, Unlike Watergate Era, Has Rival Sets of Facts",https://www.nytimes.com/2017/06/11/business/media/comey-trump-watergate.html,"Different versions of the Trump-Russia scandal are fighting for supremacy, leaving news veterans wondering, “What if Watergate happened now?”"
,Democrats Call for Sessions’s Testimony to Be Public,https://www.nytimes.com/2017/06/11/us/politics/jeff-sessions-russia-trump-attorney-general-senate.html,
,Fired U.S. Attorney Says Trump Tried to Build Relationship With Him,https://www.nytimes.com/2017/06/11/us/politics/preet-bharara-trump-contacts.html,
By REBECCA R. RUIZ and SHARON LaFRANIERE,Role of Trump’s Lawyer Blurs Public and Private Lines,https://www.nytimes.com/2017/06/11/us/politics/trump-lawyer-marc-kasowitz.html,"Marc E. Kasowitz, the president’s private lawyer, has counseled administration staff and exerted broader influence over legal strategy."
By REED ABELSON,Obamacare Repeal Limits Flexibility for Those in Transition,https://www.nytimes.com/2017/06/11/health/health-insurance-transitional-coverage.html,"People in flux because of layoffs, moves, illness or new ventures turned to the Affordable Care Act marketplaces as a stopgap, but that option may soon be gone."
By MIKE ISAAC,Uber Board Discusses a Leave for Embattled C.E.O.,https://www.nytimes.com/2017/06/11/technology/uber-holder-report.html,The board was meeting to address Travis Kalanick’s future and the recommendations of Eric H. Holder Jr.’s investigation into the company’s culture.
,,https://www.nytimes.com/2017/04/23/technology/travis-kalanick-pushes-uber-and-himself-to-the-precipice.html,
,Jeffrey Immelt to Retire as General Electric Chief 9:28 AM ET,https://www.nytimes.com/2017/06/12/business/ge-immelt.html,
,Bill Cosby Sex Assault Trial: The Defense’s Turn 5:00 AM ET,https://www.nytimes.com/2017/06/12/arts/television/bill-cosby-trial-day-6.html,
,Macron’s Party on Track to Claim Majority in Parliament,https://www.nytimes.com/2017/06/11/world/europe/france-legislative-elections-emmanuel-macron.html,
,Should Puerto Rico Be 51st State? Residents Go to Polls.,https://www.nytimes.com/2017/06/11/us/puerto-ricans-vote-on-the-question-of-statehood.html,
,"Before the Cloud, a Mine of Data",https://www.nytimes.com/video/us/100000005146128/before-the-cloud-an-underground-mine-of-physical-data.html,
By MATTHEW SHAER,"The Long, Lonely Road of Chelsea Manning",https://www.nytimes.com/2017/06/12/magazine/the-long-lonely-road-of-chelsea-manning.html,"Her disclosure of classified documents in 2010 ushered in the age of leaks. Now, freed from prison, she talks about why she did it — and the isolation that followed."
,,https://www.nytimes.com/2017/06/12/magazine/the-long-lonely-road-of-chelsea-manning.html?target=comments#commentsContainer,
By CHRIS STANFORD 8:21 AM ET,Your Monday Briefing,https://www.nytimes.com/2017/06/12/briefing/tony-awards-pittsburgh-penguins-uber.html,Here’s what you need to know to start your day.
,,https://www.nytimes.com/2017/06/12/nyregion/new-york-today-working-the-nightclub-ropes.html,
By JONAH ENGEL BROMWICH 8:30 AM ET,California Today: Talking to a Tony Winner,https://www.nytimes.com/2017/06/12/us/california-today-talking-to-a-tony-winner.html,"Plus, the anniversary of a groundbreaking music festival."
,Listen to ‘The Daily’,https://www.nytimes.com/column/the-daily,It’s all about “hope”: We discuss the one word that an obstruction of justice case could turn on.
,How to Save on Summer Travel,https://www.nytimes.com/interactive/2017/05/16/travel/frugal-traveler-summer-travel-chat.html,"Looking to save on summer travel? Our Frugal Traveler columnist answered your questions on airfares, lodging, food and more."
By LIAM STACK 5:45 AM ET,Ways Your iPhone Will Change After Apple’s iOS 11,https://www.nytimes.com/2017/06/12/smarter-living/apple-iphone-ios11.html,Apple debuted its new operating system last week. It will bring some big changes to your iPhone.
,,,
By MICHAEL PAULSON,‘Dear Evan Hansen’ Wins 6 Tonys; Midler Is Best Leading Actress,https://www.nytimes.com/2017/06/11/theater/tony-awards.html,"“Oslo” was awarded best play, but it was “Dear Evan Hansen” that had the big haul, including for best new musical. Bette Midler won for her turn in the revival of “Hello, Dolly!”"
,Television Review: An Uneven Night for Kevin Spacey as Host,https://www.nytimes.com/2017/06/12/theater/tony-awards-review-recap-kevin-spacey.html,
,Fashion Review: The Tony Awards Get the Red Carpet Blues,https://www.nytimes.com/2017/06/12/fashion/tony-awards-red-carpet-trends.html,
,Winners List | Speeches | Red Carpet Slide Show,,
By JENNIFER MEDINA,‘We Are Not Unusual Anymore’: 50 Years of Mixed-Race Marriage in U.S.,https://www.nytimes.com/2017/06/11/us/mixed-race-marriage-loving-decision-anniversary.html,"Fifty years after the landmark Supreme Court case that allowed interracial couples to marry, a California couple recall being among the first to do so."
By PETER S. GOODMAN,"Ahead of ‘Brexit,’ Britons Face Economic Pinch at Home",https://www.nytimes.com/2017/06/11/business/economy/britain-economy-election-brexit.html,"In a period of political uncertainty, Britain’s economy is slowing and consumers are grappling with rising prices."
By CATHERINE PORTER,Producing a Film in a Language Very Few Speak,https://www.nytimes.com/2017/06/11/world/americas/reviving-a-lost-language-of-canada-through-film.html,The first Haida-language feature film is being shot on Canada’s west coast. The biggest challenge? Fewer than 20 people worldwide speak Haida fluently.
By JAMES BARRON,Plan for New Path in Central Park Worries Preservationists,https://www.nytimes.com/2017/06/11/nyregion/plan-for-inclined-walk-central-park-preservationists.html,"Managers say a straight walkway to Belvedere Castle is needed to improve access for disabled visitors, but critics say it would be out of character for the park."
,Morning Briefing: Australia Edition,https://www.nytimes.com/newsletters/morning-briefing-australia,"The news and stories that matter to readers in Australia. Sign up to get it by email, Monday through Friday."
,Morning Briefing: Asia Edition,https://www.nytimes.com/newsletters/morning-briefing-asia,"The news and stories that matter to readers in Asia. Sign up to get it by email, Monday through Friday."
,Morning Briefing: Europe Edition,https://www.nytimes.com/newsletters/morning-briefing-europe,"The news and stories that matter to readers in Europe. Sign up to get it by email, Monday through Friday."
,Morning Briefing,https://www.nytimes.com/newsletters/morning-briefing,The news and stories that matter. Delivered to your inbox Monday through Friday.
,Australia to Tighten Parole Laws After Deadly Siege,https://www.nytimes.com/2017/06/09/world/australia/australia-melbourne-terror-parole.html,"Government leaders agreed that bail or parole would be denied to people linked to terrorist activity, Prime Minister Malcolm Turnbull said."
,"Australian Politics Is Open to Foreign Cash, and China Has Much to Gain",https://www.nytimes.com/2017/06/06/world/australia/china-political-influence-campaign-finance.html,"A recent report raised questions about Chinese interference in Australia’s political system, where foreign campaign donations are legal and difficult to track."
,Australia Makes Riesling Its Own,https://www.nytimes.com/2017/06/08/dining/wine-review-australian-riesling.html,What makes a grape that flourishes in wine regions around the globe distinctive in this part of the world?
,Having Friends Is Good for You,https://www.nytimes.com/2017/06/12/well/live/having-friends-is-good-for-you.html,"Social interaction is a critically important contributor to good health and longevity, science and experience show."
,A British Home Empire Looks to America,https://www.nytimes.com/2017/06/12/fashion/chrissie-rucker-white-company.html,"Chrissie Rucker, founder of a housewares line in Britain, hopes American shoppers go for her monochrome ethos."
,"In ‘Camino Island,’ a Break for John Grisham",https://www.nytimes.com/2017/06/12/books/review/camino-island-john-grisham.html,"Stolen manuscripts and a sleepy resort town make for a leisurely, lawyerless jaunt, our reviewer writes."
By THE EDITORIAL BOARD,Mr. Trump Goes After the Inspectors,https://www.nytimes.com/2017/06/12/opinion/mr-trump-goes-after-the-inspectors.html,The White House would cut budgets for inspectors general and lags in filling top positions.
,"Editorial: Shunning Gun Control, Helping Terrorists",https://www.nytimes.com/2017/06/12/opinion/shunning-gun-control-helping-terrorists.html,
,Blow: Impeachment Anxiety,https://www.nytimes.com/2017/06/12/opinion/the-resistance-impeachment-anxiety.html,
,Making Google the Censor,https://www.nytimes.com/2017/06/12/opinion/making-google-the-censor.html,
,Trump and the True Meaning of ‘Idiot’,https://www.nytimes.com/2017/06/12/opinion/trump-and-the-true-meaning-of-idiot.html,
By MICHAEL TOMASKY,"Finally, Something Isn’t the Matter With Kansas",https://www.nytimes.com/2017/06/12/opinion/finally-something-isnt-the-matter-with-kansas.html,"Last week, state Republicans voted to increase taxes. Will other conservatives finally do the same?"
,America Needs Closure on the Travel Ban,https://www.nytimes.com/2017/06/11/opinion/america-needs-closure-on-the-travel-ban.html,
,"A Night of Terror, a Year of Racism",https://www.nytimes.com/2017/06/12/opinion/a-night-of-terror-a-year-of-racism.html,
,Sexual Abusers Shouldn’t Be Allowed to Run the Clock,https://www.nytimes.com/2017/06/12/opinion/sexual-abusers-shouldnt-be-allowed-to-run-the-clock.html,
,Agree With ‘The 25 Best Films’? Tell Us How You Really Feel,https://www.nytimes.com/2017/06/10/insider/agree-with-the-25-best-films-tell-us-how-you-really-feel.html,
,1929 | Byrd Plants a Times Flag in Antarctica,https://www.nytimes.com/2017/06/09/insider/1929-byrd-plants-a-times-flag-in-antarctica.html,
,Agree With ‘The 25 Best Films’? Tell Us How You Really Feel,http://www.nytimes.com/section/insider,
,Play Today’s Puzzle,http://www.nytimes.com/crosswords,
,Play Today’s Puzzle,http://www.nytimes.com/crosswords,
,,http://wordplay.blogs.nytimes.com,
,,,
,"At Palace, the Unbearable Being of Lines",https://www.nytimes.com/2017/06/12/fashion/palace-skateboards-british-supreme.html,
,Stop Pretending You’re Not Rich,https://www.nytimes.com/2017/06/10/opinion/sunday/stop-pretending-youre-not-rich.html,Forget the 1 percent for a moment. It’s the top fifth that rules.
,The Lice Ladies of Brooklyn Go Corporate,https://www.nytimes.com/2017/06/08/nyregion/the-lice-ladies-of-brooklyn-go-corporate.html,
,Meet the Musicians Who Modeled for Gucci,https://www.nytimes.com/2017/05/30/t-magazine/fashion/gucci-cruise-musicians-james-righton-lucio-corsi-francesco-bianconi.html,
,Is Putin Getting What He Wanted With Trump?,https://www.nytimes.com/2017/06/10/opinion/sunday/is-putin-getting-what-he-wanted-with-trump.html,
,What We’re Reading,https://www.nytimes.com/2017/06/06/insider/what-were-reading.html,
,Ideas Sparked by Flow of Twitter Conversations,https://www.nytimes.com/2017/06/07/technology/personaltech/jenna-wortham-tech-twitter.html,
,I Left My Son in a Kingdom of Men,https://www.nytimes.com/2017/06/09/opinion/sunday/saudi-arabia-women-driving-ban.html,"After I protested Saudi Arabia’s ban on women driving, I had to face a mother’s worst nightmare: leaving my child."
,What Yotam Ottolenghi Can’t Do Without,https://www.nytimes.com/2017/06/06/dining/tahini-cookies-cake-recipes.html,
,From the Subways to the Sofa: Pet Rats,https://www.nytimes.com/2017/06/08/nyregion/new-yorkers-adopting-rats-as-pets.html,
,America Made Me a Feminist,https://www.nytimes.com/2017/06/10/opinion/sunday/paulina-porizkova-america-feminist.html,
,The Presence of Violence at the Kabul Bureau,https://www.nytimes.com/2017/06/08/insider/first-thought-at-the-timess-kabul-bureau-we-are-under-attack.html,
,"U.S. Cyberweapons, Used Against Iran and North Korea, Are a Disappointment Against ISIS",https://www.nytimes.com/2017/06/12/world/middleeast/isis-cyber.html,
,Reviving a Lost Language of Canada Through Film,https://www.nytimes.com/2017/06/11/world/americas/reviving-a-lost-language-of-canada-through-film.html,
,Emmanuel Macron’s Party on Track to Claim Majority in France’s Parliament,https://www.nytimes.com/2017/06/11/world/europe/france-legislative-elections-emmanuel-macron.html,
,Jeffrey Immelt to Retire as General Electric Chief,https://www.nytimes.com/2017/06/12/business/ge-immelt.html,
,Culture Clash at a Chinese-Owned Plant in Ohio,https://www.nytimes.com/2017/06/10/business/economy/ohio-factory-jobs-china.html,
,Movers: Jeff Immelt Out as C.E.O. of G.E.,https://www.nytimes.com/2017/06/12/business/dealbook/movers-uber-kalanick.html,
,"Op-Ed Contributor: Finally, Something Isn’t the Matter With Kansas",https://www.nytimes.com/2017/06/12/opinion/finally-something-isnt-the-matter-with-kansas.html,
,Editorial: Mr. Trump Goes After the Inspectors,https://www.nytimes.com/2017/06/12/opinion/mr-trump-goes-after-the-inspectors.html,
,Charles M. Blow: The Resistance: Impeachment Anxiety,https://www.nytimes.com/2017/06/12/opinion/the-resistance-impeachment-anxiety.html,
,‘We Are Not Unusual Anymore’: 50 Years of Mixed-Race Marriage in U.S.,https://www.nytimes.com/2017/06/11/us/mixed-race-marriage-loving-decision-anniversary.html,
,"For Flint, an 1882 Play About Bad Water Is ‘Exactly What We’re Living’",https://www.nytimes.com/2017/06/11/us/flint-water-crisis-theater-ibsen.html,
,"Heroin Use? Juvenile Record? For Recruits, Police Forgive Past Sins",https://www.nytimes.com/2017/06/12/us/police-departments-american-history.html,
,Uber Weighs Leave of Absence for Chief Executive,https://www.nytimes.com/2017/06/11/technology/uber-holder-report.html,
,"U.S. Cyberweapons, Used Against Iran and North Korea, Are a Disappointment Against ISIS",https://www.nytimes.com/2017/06/12/world/middleeast/isis-cyber.html,
,Fujifilm-Xerox Venture Ousts Executives Over Accounting Trouble,https://www.nytimes.com/2017/06/12/business/japan-fuji-xerox-accounting.html,
,Tony Awards Briefing: ‘Dear Evan Hansen’ Wins 6 Tony Awards; Bette Midler Is Best Leading Actress,https://www.nytimes.com/2017/06/11/theater/tony-awards.html,
,"Et Tu, Delta? Shakespeare in the Park Sponsors Withdraw From Trump-Like ‘Julius Caesar’",https://www.nytimes.com/2017/06/11/arts/delta-airline-trump-public-theater-julius-caesar.html,
,Cosby Trial Live Briefing: Bill Cosby Trial Day 6: Mrs. Cosby Arrives,https://www.nytimes.com/2017/06/12/arts/television/bill-cosby-trial-day-6.html,
,Ivanka Trump Says Father Felt ‘Vindicated’ by Comey Testimony,https://www.nytimes.com/2017/06/12/us/politics/ivanka-trump-comey-donald-trump-fox-and-friends.html,
,"Sidebar: Unions Come Into the Justices’ Cross Hairs, Again",https://www.nytimes.com/2017/06/12/us/politics/unions-come-into-the-justices-cross-hairs-again.html,
,Ducks: A Point of Unity in a Capital of Ruffled Feathers,https://www.nytimes.com/2017/06/11/us/politics/ducks-washington-reflecting-pool-unity.html,
,On the Runway: The Tony Awards Get the Red Carpet Blues,https://www.nytimes.com/2017/06/12/fashion/tony-awards-red-carpet-trends.html,
,Death of a Downtown Icon: Remembering Benjamin Cho,https://www.nytimes.com/2017/06/11/fashion/death-of-a-downtown-icon-benjamin-cho.html,
,The 2017 Tony Awards Red Carpet,https://www.nytimes.com/2017/06/11/fashion/tony-awards-red-carpet.html,
,The 25 Best Films of the 21st Century So Far.,https://www.nytimes.com/interactive/2017/06/09/movies/the-25-best-films-of-the-21st-century.html,
,"Review: ‘The Mummy,’ With Tom Cruise, Deserves a Quick Burial",https://www.nytimes.com/2017/06/07/movies/the-mummy-review-tom-cruise.html,
,"Review: Mom, Dad, the Kid and the Dog. What Could Be Scarier?",https://www.nytimes.com/2017/06/08/movies/it-comes-at-night-review.html,
,What’s the Insurance Capital Without Aetna? Hartford May Find Out,https://www.nytimes.com/2017/06/11/nyregion/hartford-aetna-relocation.html,
,Grace Notes: Plan for Inclined Path in Central Park Worries Preservationists,https://www.nytimes.com/2017/06/11/nyregion/plan-for-inclined-walk-central-park-preservationists.html,
,"With M.T.A. in Need of a Boss, Cuomo May Finally Pick One. Or Two.",https://www.nytimes.com/2017/06/11/nyregion/cuomo-mta-subway-leader.html,
,"Penguins 2, Predators 0 | Pittsburgh wins series, 4-2: Pittsburgh Penguins Beat the Predators to Repeat as Stanley Cup Champions",https://www.nytimes.com/2017/06/11/sports/hockey/stanley-cup-pittsburgh-penguins-nashville-predators.html,
,"United States 1, Mexico 1: World Cup Hopes Revived, United States Ties Mexico",https://www.nytimes.com/2017/06/11/sports/soccer/united-states-mexico-world-cup-qualifying.html,
,Give Baseball Scouts a (Perfect) 80 for Tradition,https://www.nytimes.com/2017/06/12/sports/baseball/give-baseball-scouts-a-perfect-80-for-tradition.html,
,Tony Awards Briefing: ‘Dear Evan Hansen’ Wins 6 Tony Awards; Bette Midler Is Best Leading Actress,https://www.nytimes.com/2017/06/11/theater/tony-awards.html,
,2017 Tony Awards,https://www.nytimes.com/video/theater/100000005158603/2017-tony-awards.html,
,"Et Tu, Delta? Shakespeare in the Park Sponsors Withdraw From Trump-Like ‘Julius Caesar’",https://www.nytimes.com/2017/06/11/arts/delta-airline-trump-public-theater-julius-caesar.html,
,"Finland Works, Quietly, to Bury Its Nuclear Reactor Waste",https://www.nytimes.com/2017/06/09/science/nuclear-reactor-waste-finland.html,
,"Trilobites: Glass Eels: See-Through, Slippery and Guided by Magnetism and Tides",https://www.nytimes.com/2017/06/09/science/glass-eels-magnetism-navigation.html,
,"Trilobites: Spawning Time, When Sockeye Salmon Change From Blue to Red",https://www.nytimes.com/2017/06/09/science/sockeye-salmon-blue-red-color-change.html,
,"Edith Shiffert, a Poet Inspired by Nature and Her Life in Japan, Dies at 101",https://www.nytimes.com/2017/06/11/arts/edith-shiffert-a-poet-inspired-by-nature-and-her-life-in-japan-dies-at-101.html,
,"Sad Day for Gotham: Adam West, Who Played Batman, Dies at 88",https://www.nytimes.com/2017/06/10/arts/sad-day-for-gotham-adam-west-who-played-batman-dies-at-88.html,
,"Andimba Toivo ya Toivo, Namibian Independence Leader, Dies at 92",https://www.nytimes.com/2017/06/10/world/africa/andimba-toivo-ya-toivo-dead.html,
,Television Review: An Uneven Night for Kevin Spacey as Tonys Host,https://www.nytimes.com/2017/06/12/theater/tony-awards-review-recap-kevin-spacey.html,
,"Oliver Stone’s ‘Putin Interviews’: Flattery, but Little Skepticism",https://www.nytimes.com/2017/06/09/arts/television/review-the-putin-interviews-showtime-oliver-stone.html,
,Televsion Review: ‘Claws’ on TNT: That Manicure Comes With a Murder,https://www.nytimes.com/2017/06/11/arts/television/claws-on-tnt-that-manicure-comes-with-a-murder.html,
,"Seizing on Opioid Crisis, a Drug Maker Lobbies Hard for Its Product",https://www.nytimes.com/2017/06/11/health/vivitrol-drug-opioid-addiction.html,
,Personal Health: Social Interaction Is Critical for Mental and Physical Health,https://www.nytimes.com/2017/06/12/well/live/having-friends-is-good-for-you.html,
,Flexibility That A.C.A. Lent to Work Force Is Threatened by G.O.P. Plan,https://www.nytimes.com/2017/06/11/health/health-insurance-transitional-coverage.html,
,The Getaway: A Mystery Up Above: How Much Are Frequent Flier Miles Worth?,https://www.nytimes.com/2017/06/12/travel/how-much-are-frequent-flier-miles-worth.html,
,"U.S. Islands: On a Georgia Island, a Lot of Good Food and Plenty of Nothing",https://www.nytimes.com/2017/06/06/travel/cumberland-island-georgia-national-seashore.html,
,Essay: How to Ease Travel Anxiety in an Era of Terror: Travel More,https://www.nytimes.com/2017/06/08/travel/easing-anxiety-travelers-global-terror.html,
,Fiction: Arundhati Roy’s Return to the Form That Made Her Famous,https://www.nytimes.com/2017/06/09/books/review/arundhati-roys-return-to-the-form-that-made-her-famous.html,
,Q. and A.: Tell Us 5 Things About Your Book: A Reporter Inside the World of Jihad,https://www.nytimes.com/2017/06/11/arts/tell-us-5-things-about-your-book-inside-the-world-of-jihad.html,
,Nonfiction: Al Franken Has Been Sitting on Jokes for a Decade. Now He’s Ready to Tell Them.,https://www.nytimes.com/2017/05/29/books/review/al-franken-giant-of-the-senate.html,
,"To Understand Betsy DeVos’s Educational Views, View Her Education",https://www.nytimes.com/2017/06/10/us/politics/betsy-devos-private-schools-choice.html,
,David L. Kirp: Ending the Curse of Remedial Math,https://www.nytimes.com/2017/06/10/opinion/sunday/cuny-ending-the-curse-of-remedial-math.html,
,Success Academy Wins Round in Fight Over Preschool Oversight,https://www.nytimes.com/2017/06/09/nyregion/success-academy-preschool-appeal.html,
,"Hungry City: At Bep Ga in Chinatown, It All Begins With Chicken",https://www.nytimes.com/2017/06/08/dining/bep-ga-review-vietnamese-restaurant-chinatown.html,
,"City Kitchen: A Juicy Tenderloin, a Pesto Swirl",https://www.nytimes.com/2017/06/09/dining/beef-tenderloin-recipe.html,
,A Good Appetite: The Simplest Shortbread You Can Bake,https://www.nytimes.com/2017/06/09/dining/shortbread-cookie-recipe.html,
,Opinion: Is Putin Getting What He Wanted With Trump?,https://www.nytimes.com/2017/06/10/opinion/sunday/is-putin-getting-what-he-wanted-with-trump.html,
,Editorial: It’s the Olympics for Trump Apologists,https://www.nytimes.com/2017/06/10/opinion/sunday/its-the-olympics-for-trump-apologists.html,
,Frank Bruni: Can Democrats Save Themselves?,https://www.nytimes.com/2017/06/10/opinion/sunday/can-democrats-save-themselves.html,
,"The Elusive $1,500 Rental",https://www.nytimes.com/2017/06/09/realestate/finding-an-affordable-new-york-city-apartment.html,
,Exclusive: Where a Rockefeller Raised His Family,https://www.nytimes.com/2017/06/09/realestate/david-rockefeller-upper-east-side-home-for-sale.html,
,Domestic Lives: A House Haunted by a Mysterious Smell,https://www.nytimes.com/2017/06/09/realestate/a-house-haunted-by-a-mysterious-smell.html,
,Your Rabbi? Probably a Democrat. Your Baptist Pastor? Probably a Republican. Your Priest? Who Knows.,https://www.nytimes.com/interactive/2017/06/12/upshot/the-politics-of-americas-religious-leaders.html,
,The New Health Care: There’s No Magical Savings in Showing Prices to Doctors,https://www.nytimes.com/2017/06/12/upshot/theres-no-magical-savings-in-showing-prices-to-doctors.html,
,Economic View: Why Women Don’t See Themselves as Entrepreneurs,https://www.nytimes.com/2017/06/09/upshot/why-women-dont-see-themselves-as-entrepreneurs.html,
,"Feature: The Long, Lonely Road of Chelsea Manning",https://www.nytimes.com/2017/06/12/magazine/the-long-lonely-road-of-chelsea-manning.html,
,Feature: America’s Hidden H.I.V. Epidemic,https://www.nytimes.com/2017/06/06/magazine/americas-hidden-hiv-epidemic.html,
,Feature: The Bounty Hunter of Wall Street,https://www.nytimes.com/2017/06/08/magazine/the-bounty-hunter-of-wall-street.html,
,"Driven: Video Review: With New Ioniq, Hyundai Goes After Prius",https://www.nytimes.com/2017/06/08/automobiles/autoreviews/video-review-with-new-ioniq-hyundai-goes-after-prius.html,
,"Wheels: In Portland, a Rare Outpost for Die-Hard Saab Fans",https://www.nytimes.com/2017/06/08/automobiles/saab-autos-cars.html,
,Bits: Electronic Setups of Driverless Cars Vulnerable to Hackers,https://www.nytimes.com/2017/06/07/technology/electronic-setups-of-driverless-cars-vulnerable-to-hackers.html,
,6 Designers (Straight Out of Fashion School) to Know,https://www.nytimes.com/2017/06/09/t-magazine/fashion/ben-duncan-chungin-no-matt-dyer-new-young-designers.html,
,Some Things T Editors Are Really Into Right Now,https://www.nytimes.com/2017/06/09/t-magazine/givenchy-audrey-hepburn-editors-picks.html,
,8 Male Models to Watch This Season,https://www.nytimes.com/2017/06/09/t-magazine/fashion/male-models-mens-fashion-week-masao-parris-mathieu-franke-zack-hunt.html,
,"Ahead of the Tonys, Watching Everything",https://www.nytimes.com/2017/06/10/insider/tony-awards-theater-desk.html,
,Agree With ‘The 25 Best Films’? Tell Us How You Really Feel,https://www.nytimes.com/2017/06/10/insider/agree-with-the-25-best-films-tell-us-how-you-really-feel.html,
,‘I Want My Government to Ask Questions’,https://www.nytimes.com/2017/06/10/insider/i-want-my-government-to-ask-questions.html,
By JOANNE KAUFMAN,Jackie Hoffman on the Place Where She Hangs Her Hat,https://www.nytimes.com/2017/06/09/realestate/at-home-with-broadway-actress-jackie-hoffman.html,"For the “Charlie and the Chocolate Factory” actress, home is where the sirens blare. And she’s staying put."
,Search for Homes for Sale or Rent,http://www.nytimes.com/real-estate/find-a-home,
,Mortgage Calculator,https://www.nytimes.com/real-estate/mortgage-calculator,
